index	prefix	engaligns	greekaligns
934		['2:5.134:but', '2:5.134:on', '2:5.134:the', '2:5.134:other']	["2:5.134:δ'"]
935		['2:5.134:that', '2:5.134:one']	['2:5.134:τὸν']
936		['2:5.134:driving']	['2:5.134:φέρων']
937		['2:5.134:wind']	['2:5.134:ἄνεμός']
938		['2:5.134:and']	['2:5.134:καὶ']
939		['2:5.134:waves']	['2:5.134:κῦμα']
940		['2:5.134:both']	['2:5.134:τε']
941	[he] 	['2:5.134:brought', '2:5.134:near']	['2:5.134:πέλασσε']
942		['2:5.134:to', '2:5.134:this', '2:5.134:place']	["2:5.134:δεῦρ'"]
943		['2:5.135:As', '2:5.135:for', '2:5.135:him']	['2:5.135:τὸν']
944		['2:5.135:again']	['2:5.135:μὲν']
945		['2:5.135:I', '2:5.135:was', '2:5.135:the', '2:5.135:one', '2:5.135:who']	['2:5.135:ἐγὼ']
946		['2:5.135:both']	['2:5.135:τε']
947	[I] 	['2:5.135:was[2]', '2:5.135:showing', '2:5.135:affection', '2:5.135:to']	['2:5.135:φίλεόν']
948		['2:5.135:and']	['2:5.135:καὶ']
949	[I] 	['2:5.135:kept', '2:5.135:giving', '2:5.135:care']	['2:5.135:ἔτρεφον']
950		['2:5.135:and[2]']	['2:5.135:ἠδὲ']
951	[I] 	['2:5.135:kept[2]', '2:5.135:promising']	['2:5.135:ἔφασκον']
952		['2:5.136:to', '2:5.136:make']	['2:5.136:θήσειν']
953		['2:5.136:immortal']	['2:5.136:ἀθάνατον']
954		['2:5.136:and']	['2:5.136:καὶ']
955		['2:5.136:unaging']	['2:5.136:ἀγήραον']
956		['2:5.136:for', '2:5.136:all']	['2:5.136:πάντα']
957		['2:5.136:days']	['2:5.136:ἤματα']
958		['2:5.137:But', '2:5.137:after', '2:5.137:all']	["2:5.137:ἀλλ'"]
959		['2:5.137:as', '2:5.137:you', '2:5.137:say']	['2:5.137:ἐπεὶ']
960	[it] 	['2:5.137:is']	['2:5.137:ἔστι']
961		['2:5.137:not']	['2:5.137:οὔ']
962		['2:5.137:possible']	['2:5.137:πως']
963		['2:5.137:design']	['2:5.137:νόον']
964		['2:5.137:of', '2:5.137:aegis-holding']	['2:5.137:αἰγιόχοιο']
965		['2:5.137:Zeus']	['2:5.137:Διὸς']
966		['2:5.138:another']	['2:5.138:ἄλλον']
967		['2:5.138:god']	['2:5.138:θεὸν']
968		['2:5.138:should', '2:5.138:both']	['2:5.138:τε']
969		['2:5.138:not']	['2:5.138:οὔ']
970		['2:5.138:slip', '2:5.138:past']	['2:5.138:παρεξελθεῖν']
971		['2:5.138:nor']	["2:5.138:οὔθ'"]
972		['2:5.138:disappoint']	['2:5.138:ἁλιῶσαι']
973		['2:5.139:Fine—', '2:5.139:let', '2:5.139:go']	['2:5.139:ἐρρέτω']
974		['2:5.139:if']	['2:5.139:εἴ']
975		['2:5.139:that', '2:5.139:one']	['2:5.139:κεῖνος']
976	[he] 	['2:5.139:pushes']	['2:5.139:ἐποτρύνει']
977		['2:5.139:and']	['2:5.139:καὶ']
978	[he] 	['2:5.139:orders']	['2:5.139:ἀνώγει']
979		['2:5.139:him[2]']	['2:5.139:μιν']
980		['2:5.140:onto']	["2:5.140:ἐπ'"]
981		['2:5.140:barren']	['2:5.140:ἀτρύγετον']
982		['2:5.140:sea']	['2:5.140:πόντον']
983		['2:5.140:But']	['2:5.140:δέ']
984		['2:5.140:for', '2:5.140:my', '2:5.140:part']	['2:5.140:ἐγώ']
985		['2:5.140:you', '2:5.140:can', '2:5.140:be', '2:5.140:sure']	['2:5.140:γε']
986	[I] 	['2:5.140:will', '2:5.140:send']	['2:5.140:πέμψω']
987		['2:5.140:not']	['2:5.140:οὔ']
988		['2:5.140:him']	['2:5.140:μιν']
989		['2:5.140:anywhere']	['2:5.140:πῃ']
990		['2:5.141:for']	['2:5.141:γάρ']
991		['2:5.141:no', '2:5.141:no[2]']	['2:5.141:οὐ']
992		['2:5.141:ships']	['2:5.141:νῆες']
993		['2:5.141:equipped', '2:5.141:with', '2:5.141:oars']	['2:5.141:ἐπήρετμοι']
994		['2:5.141:with[2]']	['2:5.141:πάρα']
995		['2:5.141:me']	['2:5.141:μοι']
996		['2:5.141:and']	['2:5.141:καὶ']
997		['2:5.141:comrades']	['2:5.141:ἑταῖροι']
998		['2:5.142:who']	['2:5.142:οἵ']
999		['2:5.142:might']	['2:5.142:κέν']
1000	[they might] 	['2:5.142:get', '2:5.142:home']	['2:5.142:πέμποιεν']
1001		['2:5.142:him']	['2:5.142:μιν']
1002		['2:5.142:over']	["2:5.142:ἐπ'"]
1003		['2:5.142:wide']	['2:5.142:εὐρέα']
1004		['2:5.142:back']	['2:5.142:νῶτα']
1005		['2:5.142:sea']	['2:5.142:θαλάσσης']
1006		['2:5.143:All', '2:5.143:that', '2:5.143:being', '2:5.143:said']	['2:5.143:αὐτάρ']
1007		['2:5.143:in', '2:5.143:good', '2:5.143:faith']	['2:5.143:πρόφρων']
1008	[I] 	['2:5.143:will', '2:5.143:share', '2:5.143:advice']	['2:5.143:ὑποθήσομαι']
1009		['2:5.143:with', '2:5.143:him']	['2:5.143:οἱ']
1010		['2:5.143:and']	["2:5.143:δ'"]
1011	[I] 	['2:5.143:will[2]', '2:5.143:hide']	['2:5.143:ἐπικεύσω']
1012		['2:5.143:not']	['2:5.143:οὐ']
1013		['2:5.144:so', '2:5.144:that']	['2:5.144:ὥς']
1014		['2:5.144:quite']	["2:5.144:μάλ'"]
1015		['2:5.144:unhurt']	['2:5.144:ἀσκηθὴς']
1016		['2:5.144:may']	['2:5.144:κε']
1017	[he may] 	['2:5.144:arrive', '2:5.144:at']	['2:5.144:ἵκηται']
1018		['2:5.144:his', '2:5.144:own']	['2:5.144:ἣν']
1019		['2:5.144:ancestral']	['2:5.144:πατρίδα']
1020		['2:5.144:land']	['2:5.144:γαῖαν']
1021		['2:5.145:To', '2:5.145:her']	['2:5.145:τὴν']
1022		['2:5.145:in', '2:5.145:return']	['2:5.145:αὖτε']
1023		['2:5.145:messenger']	['2:5.145:διάκτορος']
1024		['2:5.145:slayer', '2:5.145:of', '2:5.145:Argus']	['2:5.145:ἀργεϊφόντης']
1025	[he] 	['2:5.145:spoke']	['2:5.145:προσέειπε']
1026		['2:5.146:In', '2:5.146:just', '2:5.146:this', '2:5.146:way']	['2:5.146:οὕτω']
1027		['2:5.146:-', '2:5.146:now']	['2:5.146:νῦν']
1028		['2:5.146:send', '2:5.146:back']	['2:5.146:ἀπόπεμπε']
1029		['2:5.146:and']	["2:5.146:δ'"]
1030		['2:5.146:watch', '2:5.146:yourself', '2:5.146:against']	['2:5.146:ἐποπίζεο']
1031		['2:5.146:wrath']	['2:5.146:μῆνιν']
1032		['2:5.146:of', '2:5.146:Zeus']	['2:5.146:Διὸς']
1033		['2:5.147:lest']	['2:5.147:μή']
1034		['2:5.147:having', '2:5.147:developed', '2:5.147:a', '2:5.147:grudge', '2:5.147:against']	['2:5.147:κοτεσσάμενος']
1035		['2:5.147:you']	['2:5.147:τοι']
1036		['2:5.147:in', '2:5.147:any', '2:5.147:way']	['2:5.147:πώς']
1037	[he] 	['2:5.147:may', '2:5.147:be', '2:5.147:harsh']	['2:5.147:χαλεπήνῃ']
1038		['2:5.147:afterwards']	['2:5.147:μετόπισθε']
1039		['2:5.148:Having', '2:5.148:spoken']	['2:5.148:φωνήσας']
1040		['2:5.148:in', '2:5.148:this', '2:5.148:way']	['2:5.148:ὣς']
1041		['2:5.148:mighty']	['2:5.148:κρατὺς']
1042		['2:5.148:slayer', '2:5.148:of', '2:5.148:Argus']	['2:5.148:ἀργεϊφόντης']
1043		['2:5.148:then']	['2:5.148:ἄρα']
1044	[he] 	['2:5.148:left']	['2:5.148:ἀπέβη']
1045		['2:5.149:That', '2:5.149:woman']	['2:5.149:ἡ']
1046		['2:5.149:revered']	['2:5.149:πότνια']
1047		['2:5.149:nymph']	['2:5.149:νύμφη']
1048		['2:5.149:towards']	["2:5.149:ἐπ'"]
1049		['2:5.149:great-hearted']	['2:5.149:μεγαλήτορα']
1050		['2:5.149:Odysseus']	['2:5.149:Ὀδυσσῆα']
1051	[he] 	['2:5.150:made', '2:5.150:her', '2:5.150:way']	["2:5.150:ἤι'"]
1052		['2:5.150:after']	['2:5.150:ἐπεὶ']
1053	[he] 	['2:5.150:listened', '2:5.150:to']	['2:5.150:ἐπέκλυεν']
1054		['2:5.150:message']	['2:5.150:ἀγγελιάων']
1055		['2:5.150:of', '2:5.150:Zeus']	['2:5.150:Ζηνὸς']
1056	[she] 	['2:5.151:found']	['2:5.151:εὗρε']
1057		['2:5.151:tbat', '2:5.151:man']	['2:5.151:τὸν']
1058		['2:5.151:sitting']	['2:5.151:καθήμενον']
1059		['2:5.151:on']	["2:5.151:ἐπ'"]
1060		['2:5.151:shore']	['2:5.151:ἀκτῆς']
1061		['2:5.151:and']	['2:5.151:δέ']
1062		['2:5.151:two', '2:5.151:eyes']	['2:5.151:ὄσσε']
1063	[they] 	['2:5.151:were', '2:5.152:dry']	['2:5.152:τέρσοντο']
1064		['2:5.151:not']	['2:5.151:οὐ']
1065		['2:5.151:ever']	["2:5.151:ποτ'"]
1066		['2:5.152:tears']	['2:5.152:δακρυόφιν']
1067		['2:5.152:and']	['2:5.152:δὲ']
1068		['2:5.152:sweet']	['2:5.152:γλυκὺς']
1069		['2:5.152:life']	['2:5.152:αἰὼν']
1070	[he] 	['2:5.152:kept', '2:5.152:dripping', '2:5.152:away']	['2:5.152:κατείβετο']
1071		['2:5.153:mourning']	['2:5.153:ὀδυρομένῳ']
1072		['2:5.153:return', '2:5.153:home']	['2:5.153:νόστον']
1073		['2:5.153:since']	['2:5.153:ἐπεὶ']
1074		['2:5.153:nymph']	['2:5.153:νύμφη']
1075	[she] 	['2:5.153:was', '2:5.153:pleasing']	['2:5.153:ἥνδανε']
1076		['2:5.153:not', '2:5.153:still']	['2:5.153:οὐκέτι']
1077		['2:5.154:But']	["2:5.154:ἀλλ'"]
1078		['2:5.154:in', '2:5.154:fact', '2:5.154:fact']	['2:5.154:ἦ', '2:5.154:τοι']
1079		['2:5.154:on', '2:5.154:one', '2:5.154:hand']	['2:5.154:μὲν']
1080		['2:5.154:night', '2:5.154:after', '2:5.154:night[2]']	['2:5.154:νύκτας']
1081	[he] 	['2:5.154:again', '2:5.154:and', '2:5.154:again[2]', '2:5.154:he[2]', '2:5.154:would', '2:5.154:lie']	['2:5.154:ἰαύεσκεν']
1082		['2:5.154:and[2]', '2:5.154:indeed']	['2:5.154:καὶ']
1083		['2:5.154:by', '2:5.154:compulsion']	['2:5.154:ἀνάγκῃ']
1084		['2:5.155:in']	['2:5.155:ἐν']
1085		['2:5.155:hollow']	['2:5.155:γλαφυροῖσι']
1086		['2:5.155:caves']	['2:5.155:σπέσσι']
1087		['2:5.155:not']	['2:5.155:οὐκ']
1088		['2:5.155:willing']	['2:5.155:ἐθέλων']
1089		['2:5.155:beside']	["2:5.155:παρ'"]
1090		['2:5.155:a', '2:5.155:woman', '2:5.155:who', '2:5.155:was', '2:5.155:willing[2]']	['2:5.155:ἐθελούσῃ']
1091		['2:5.156:on', '2:5.156:the', '2:5.156:other', '2:5.156:hand']	["2:5.156:δ'"]
1092		['2:5.156:day', '2:5.156:after', '2:5.156:day[2]']	['2:5.156:ἤματα']
1093		['2:5.156:sitting']	['2:5.156:καθίζων']
1094		['2:5.156:on[2]']	['2:5.156:ἂμ']
1095		['2:5.156:rocks']	['2:5.156:πέτρῃσι']
1096		['2:5.156:and']	['2:5.156:καὶ']
1097		['2:5.156:beaches']	['2:5.156:ἠιόνεσσι']
1098		['2:5.157:through', '2:5.157:tears']	['2:5.157:δάκρυσι']
1099		['2:5.157:and']	['2:5.157:καὶ']
1100		['2:5.157:through[2]', '2:5.157:groans']	['2:5.157:στοναχῇσι']
1101		['2:5.157:and[2]']	['2:5.157:καὶ[2]']
1102		['2:5.157:through[3]', '2:5.157:pains']	['2:5.157:ἄλγεσι']
1103		['2:5.157:shattering']	['2:5.157:ἐρέχθων']
1104		['2:5.157:heart']	['2:5.157:θυμὸν']
1105	[he] 	['2:5.158:would', '2:5.158:constantly', '2:5.158:spend', '2:5.158:his', '2:5.158:time', '2:5.158:looking', '2:5.158:out']	['2:5.158:δερκέσκετο']
1106		['2:5.158:over']	["2:5.158:ἐπ'"]
1107		['2:5.158:barren']	['2:5.158:ἀτρύγετον']
1108		['2:5.158:sea']	['2:5.158:πόντον']
1109		['2:5.158:pouring', '2:5.158:out[2]']	['2:5.158:λείβων']
1110		['2:5.158:tears']	['2:5.158:δάκρυα']
1111		['2:5.159:Coming', '2:5.159:to', '2:5.159:a', '2:5.159:stop']	['2:5.159:ἱσταμένη']
1112		['2:5.159:nearby']	['2:5.159:ἀγχοῦ']
1113	[she] 	['2:5.159:began', '2:5.159:to[2]', '2:5.159:talk', '2:5.159:to[3]']	['2:5.159:προσεφώνεε']
1114		['2:5.159:goddess']	['2:5.159:δῖα']
1115		['2:5.159:among', '2:5.159:goddesses']	['2:5.159:θεάων']
1116		['2:5.160:Ill-fated', '2:5.160:one']	['2:5.160:κάμμορε']
1117		['2:5.160:do', '2:5.160:grieve']	['2:5.160:ὀδύρεο']
1118		['2:5.160:not']	['2:5.160:μή']
1119		['2:5.160:here']	["2:5.160:ἐνθάδ'"]
1120		['2:5.160:with', '2:5.160:me']	['2:5.160:μοι']
1121		['2:5.160:still']	["2:5.160:ἔτ'"]
1122		['2:5.160:and']	['2:5.160:δέ']
1123		['2:5.160:let', '2:5.160:your']	['2:5.160:τοι']
1124		['2:5.160:life']	['2:5.160:αἰὼν']
1125		['2:5.160:not[2]']	['2:5.160:μη']
1126	[let it] 	['2:5.161:waste', '2:5.161:away']	['2:5.161:φθινέτω']
1127		['2:5.161:for']	['2:5.161:γάρ']
1128		['2:5.161:now']	['2:5.161:ἤδη']
1129		['2:5.161:entirely']	['2:5.161:μάλα']
1130		['2:5.161:in', '2:5.161:good', '2:5.161:faith']	["2:5.161:πρόφρασσ'"]
1131	[I] 	['2:5.161:will', '2:5.161:send', '2:5.161:on', '2:5.161:your', '2:5.161:way']	['2:5.161:ἀποπέμψω']
1132		['2:5.161:you']	['2:5.161:σε']
1133		['2:5.162:But']	["2:5.162:ἀλλ'"]
1134		['2:5.162:come']	['2:5.162:ἄγε']
1135		['2:5.162:—', '2:5.162:having', '2:5.162:cut']	['2:5.162:ταμὼν']
1136		['2:5.162:long']	['2:5.162:μακρὰ']
1137		['2:5.162:beams']	['2:5.162:δούρατα']
1138		['2:5.162:with', '2:5.162:bronze', '2:5.162:ax']	['2:5.162:χαλκῷ']
1139		['2:5.162:join', '2:5.162:together']	['2:5.162:ἁρμόζεο']
1140		['2:5.163:wide']	['2:5.163:εὐρεῖαν']
1141		['2:5.163:boat']	['2:5.163:σχεδίην']
1142		['2:5.163:and', '2:5.163:then']	['2:5.163:ἀτὰρ']
1143		['2:5.163:fix', '2:5.163:for', '2:5.163:yourself']	['2:5.163:πῆξαι']
1144		['2:5.163:deck-beams']	['2:5.163:ἴκρια']
1145		['2:5.163:on']	["2:5.163:ἐπ'"]
1146		['2:5.163:it']	['2:5.163:αὐτῆς']
1147		['2:5.164:so', '2:5.164:that']	['2:5.164:ὥς']
1148	[it] 	['2:5.164:may', '2:5.164:carry']	['2:5.164:φέρῃσιν']
1149		['2:5.164:you']	['2:5.164:σε']
1150		['2:5.164:high', '2:5.164:up']	['2:5.164:ὑψοῦ']
1151		['2:5.164:over']	["2:5.164:ἐπ'"]
1152		['2:5.164:misty']	['2:5.164:ἠεροειδέα']
1153		['2:5.164:sea']	['2:5.164:πόντον']
1154		['2:5.165:On', '2:5.165:the', '2:5.165:other', '2:5.165:hand']	['2:5.165:αὐτὰρ']
1155		['2:5.165:as', '2:5.165:for', '2:5.165:me']	['2:5.165:ἐγὼ']
1156		['2:5.165:prepared', '2:5.165:food']	['2:5.165:σῖτον']
1157		['2:5.165:and']	['2:5.165:καὶ']
1158		['2:5.165:water']	['2:5.165:ὕδωρ']
1159		['2:5.165:and[2]']	['2:5.165:καὶ[2]']
1160		['2:5.165:red']	['2:5.165:ἐρυθρὸν']
1161		['2:5.165:wine']	['2:5.165:οἶνον']
1162	[I] 	['2:5.166:will', '2:5.166:place', '2:5.166:within']	['2:5.166:ἐνθήσω']
1163		['2:5.166:in', '2:5.166:suitable', '2:5.166:amounts']	["2:5.166:μενοεικέ'"]
1164		['2:5.166:which']	['2:5.166:ἅ']
1165		['2:5.166:might']	['2:5.166:κέν']
1166	[it might] 	['2:5.166:keep', '2:5.166:away']	['2:5.166:ἐρύκοι']
1167		['2:5.166:hunger']	['2:5.166:λιμὸν']
1168		['2:5.166:for', '2:5.166:you']	['2:5.166:τοι']
1169		['2:5.167:and']	["2:5.167:τ'"]
1170	[I] 	['2:5.167:will', '2:5.167:dress']	['2:5.167:ἀμφιέσω']
1171		['2:5.167:in', '2:5.167:clothing']	['2:5.167:εἵματά']
1172		['2:5.167:and[2]']	['2:5.167:δέ']
1173		['2:5.167:for', '2:5.167:you[2]']	['2:5.167:τοι']
1174		['2:5.167:from', '2:5.167:behind']	['2:5.167:ὄπισθεν']
1175	[I] 	['2:5.167:will[2]', '2:5.167:send']	['2:5.167:πέμψω']
1176		['2:5.167:helpful', '2:5.167:wind']	['2:5.167:οὖρον']
1177		['2:5.168:so', '2:5.168:that']	['2:5.168:ὥς']
1178		['2:5.168:quite']	["2:5.168:μάλ'"]
1179		['2:5.168:unhurt']	['2:5.168:ἀσκηθὴς']
1180		['2:5.168:might']	['2:5.168:κε']
1181	[you (sg) might] 	['2:5.168:arrive', '2:5.168:at']	['2:5.168:ἵκηαι']
1182		['2:5.168:your', '2:5.168:own']	['2:5.168:σὴν']
1183		['2:5.168:ancestral']	['2:5.168:πατρίδα']
1184		['2:5.168:land']	['2:5.168:γαῖαν']
1185		['2:5.169:if']	['2:5.169:αἴ']
1186		['2:5.169:indeed']	["2:5.169:γ'"]
1187		['2:5.169:gods']	['2:5.169:θεοί']
1188		['2:5.169:may']	['2:5.169:κε']
1189	[they may] 	['2:5.169:be', '2:5.169:willing']	['2:5.169:ἐθέλωσι']
1190		['2:5.169:—', '2:5.169:those', '2:5.169:who']	['2:5.169:τοὶ']
1191	[they] 	['2:5.169:hold']	['2:5.169:ἔχουσιν']
1192		['2:5.169:wide']	['2:5.169:εὐρὺν']
1193		['2:5.169:heavens']	['2:5.169:οὐρανὸν']
1194		['2:5.170:those', '2:5.170:ones']	['2:5.170:οἵ']
1195	[they] 	['2:5.170:are']	['2:5.170:εἰσι']
1196		['2:5.170:more', '2:5.170:powerful']	['2:5.170:φέρτεροί']
1197		['2:5.170:than', '2:5.170:me']	['2:5.170:μευ']
1198		['2:5.170:both']	['2:5.170:τε']
1199		['2:5.170:in', '2:5.170:planning']	['2:5.170:νοῆσαί']
1200		['2:5.170:and']	['2:5.170:τε[2]']
1201		['2:5.170:in[2]', '2:5.170:accomplishing']	['2:5.170:κρῆναί']
1202		['2:5.171:So']	['2:5.171:ὣς']
1203	[she] 	['2:5.171:spoke']	['2:5.171:φάτο']
1204		['2:5.171:but']	['2:5.171:δὲ']
1205	[he] 	['2:5.171:shuddered']	['2:5.171:ῥίγησεν']
1206		['2:5.171:much-suffering']	['2:5.171:πολύτλας']
1207		['2:5.171:godlike']	['2:5.171:δῖος']
1208		['2:5.171:Odysseus']	['2:5.171:Ὀδυσσεύς']
1209		['2:5.172:and']	['2:5.172:καί']
1210		['2:5.172:having', '2:5.172:spoken']	['2:5.172:φωνήσας']
1211		['2:5.172:winged']	['2:5.172:πτερόεντα']
1212		['2:5.172:words']	['2:5.172:ἔπεα']
1213	[he] 	['2:5.172:addressed']	['2:5.172:προσηύδα']
1214		['2:5.172:her']	['2:5.172:μιν']
1215		['2:5.173:you']	['2:5.173:σύ']
1216		['2:5.173:goddess']	['2:5.173:θεά']
1217		['2:5.173:certainly']	['2:5.173:δὴ']
1218	[you (sg)] 	['2:5.173:are', '2:5.173:planning']	['2:5.173:μήδεαι']
1219		['2:5.173:something']	['2:5.173:τι']
1220		['2:5.173:else']	['2:5.173:ἄλλο']
1221		['2:5.173:right', '2:5.173:now']	['2:5.173:τόδε']
1222		['2:5.173:and']	['2:5.173:δέ']
1223		['2:5.173:not']	['2:5.173:οὐ']
1224		['2:5.173:sending', '2:5.173:me', '2:5.173:on', '2:5.173:my', '2:5.173:way']	['2:5.173:πομπήν']
1225		['2:5.173:in', '2:5.173:any', '2:5.173:way[2]']	['2:5.173:τι[2]']
1226		['2:5.174:you', '2:5.174:who']	['2:5.174:ἥ']
1227	[you (sg)] 	['2:5.174:command']	['2:5.174:κέλεαι']
1228		['2:5.174:me']	['2:5.174:με']
1229		['2:5.174:to', '2:5.174:cross', '2:5.174:over']	['2:5.174:περάαν']
1230		['2:5.174:great']	['2:5.174:μέγα']
1231		['2:5.174:abyss']	['2:5.174:λαῖτμα']
1232		['2:5.174:sea']	['2:5.174:θαλάσσης']
1233		['2:5.174:boat']	['2:5.174:σχεδίῃ']
1234		['2:5.175:both']	["2:5.175:τ'"]
1235		['2:5.175:terrifying']	['2:5.175:δεινόν']
1236		['2:5.175:and']	['2:5.175:τε']
1237		['2:5.175:difficult']	['2:5.175:ἀργαλέον']
1238		['2:5.175:and[2]']	["2:5.175:δ'"]
1239		['2:5.175:over']	['2:5.175:ἐπὶ']
1240		['2:5.175:this']	['2:5.175:τὸ']
1241		['2:5.175:well-balanced']	['2:5.175:ἐῖσαι']
1242		['2:5.175:swift-travelling']	['2:5.176:ὠκύποροι']
1243		['2:5.175:ships']	['2:5.175:νῆες']
1244		['2:5.175:also']	["2:5.175:δ'[2]"]
1245	[they] 	['2:5.175:do', '2:5.176:cross', '2:5.176:over']	['2:5.176:περόωσιν']
1246		['2:5.175:not']	['2:5.175:οὐ']
1247		['2:5.176:taking', '2:5.176:delight']	['2:5.176:ἀγαλλόμεναι']
1248		['2:5.176:helpful', '2:5.176:wind']	['2:5.176:οὔρῳ']
1249		['2:5.176:of', '2:5.176:Zeus']	['2:5.176:Διὸς']
1250		['2:5.177:And']	["2:5.177:δ'"]
1251		['2:5.177:for', '2:5.177:my', '2:5.177:part']	['2:5.177:ἐγὼν']
1252		['2:5.177:would']	['2:5.177:ἂν']
1253		['2:5.177:not']	['2:5.177:οὐ']
1254	[I would] 	['2:5.177:set', '2:5.177:foot', '2:5.177:on']	['2:5.177:ἐπιβαίην']
1255		['2:5.177:boat']	['2:5.177:σχεδίης']
1256		['2:5.177:against', '2:5.177:the', '2:5.177:will']	['2:5.177:ἀέκητι']
1257		['2:5.177:of', '2:5.177:you']	['2:5.177:σέθεν']
1258		['2:5.178:if']	['2:5.178:εἰ']
1259		['2:5.178:at', '2:5.178:least']	['2:5.178:γε']
1260		['2:5.178:would', '2:5.178:not']	['2:5.178:μή']
1261	[you (sg) would] 	['2:5.178:be', '2:5.178:prevailed', '2:5.178:upon']	['2:5.178:τλαίης']
1262		['2:5.178:goddess']	['2:5.178:θεά']
1263		['2:5.178:to', '2:5.178:swear']	['2:5.178:ὀμόσσαι']
1264		['2:5.178:for', '2:5.178:me']	['2:5.178:μοι']
1265		['2:5.178:great']	['2:5.178:μέγαν']
1266		['2:5.178:oath']	['2:5.178:ὅρκον']
1267		['2:5.179:not']	['2:5.179:μή']
1268		['2:5.179:to', '2:5.179:plan']	['2:5.179:βουλευσέμεν']
1269		['2:5.179:any']	['2:5.179:τί']
1270		['2:5.179:other']	['2:5.179:ἄλλο']
1271		['2:5.179:evil']	['2:5.179:κακὸν']
1272		['2:5.179:suffering']	['2:5.179:πῆμα']
1273		['2:5.179:for', '2:5.179:me']	['2:5.179:μοι']
1274		['2:5.179:myself']	['2:5.179:αὐτῷ']
1275		['2:5.180:So']	['2:5.180:ὣς']
1276	[he] 	['2:5.180:spoke']	['2:5.180:φάτο']
1277		['2:5.180:and']	['2:5.180:δὲ']
1278	[she] 	['2:5.180:broke', '2:5.180:out', '2:5.180:into', '2:5.180:a', '2:5.180:smile']	['2:5.180:μείδησεν']
1279		['2:5.180:Calypso']	['2:5.180:Καλυψὼ']
1280		['2:5.180:goddess']	['2:5.180:δῖα']
1281		['2:5.180:among', '2:5.180:goddesses']	['2:5.180:θεάων']
1282		['2:5.181:both']	['2:5.181:τέ']
1283	[she] 	['2:5.181:stroked']	['2:5.181:κατέρεξεν']
1284		['2:5.181:him']	['2:5.181:μιν']
1285		['2:5.181:hand']	['2:5.181:χειρί']
1286		['2:5.181:and']	["2:5.181:τ'"]
1287	[she] 	['2:5.181:began', '2:5.181:speaking']	["2:5.181:ἔφατ'"]
1288		['2:5.181:with[2]', '2:5.181:authority']	['2:5.181:ἔπος']
1289	[she] 	['2:5.181:called', '2:5.181:familiarly']	['2:5.181:ὀνόμαζεν']
1290		['2:5.181:out']	['2:5.181:ἔκ']
1291		['2:5.182:really']	['2:5.182:ἦ', '2:5.182:δὴ']
1292	[you (sg)] 	['2:5.182:are']	['2:5.182:ἐσσὶ']
1293		['2:5.182:wicked', '2:5.182:man']	['2:5.182:ἀλιτρός']
1294		['2:5.182:for', '2:5.182:sure']	["2:5.182:γ'"]
1295		['2:5.182:and']	['2:5.182:καὶ']
1296		['2:5.182:knowing']	['2:5.182:εἰδώς']
1297		['2:5.182:things', '2:5.182:that', '2:5.182:are[2]', '2:5.182:useless']	['2:5.182:ἀποφώλια']
1298		['2:5.182:not']	['2:5.182:οὐκ']
1299	[you (sg)] 	['2:5.183:decided']	['2:5.183:ἐπεφράσθης']
1300		['2:5.183:to', '2:5.183:perform']	['2:5.183:ἀγορεῦσαι']
1301		['2:5.183:a']	['2:5.183:τὸν']
1302		['2:5.183:speech']	['2:5.183:μῦθον']
1303		['2:5.183:like', '2:5.183:this']	['2:5.183:οἷον']
1304		['2:5.184:Now']	['2:5.184:νῦν']
1305	[let it] 	['2:5.184:let', '2:5.184:know']	['2:5.184:ἴστω']
1306		['2:5.184:earth']	['2:5.184:γαῖα']
1307		['2:5.184:this', '2:5.184:thing']	['2:5.184:τόδε']
1308		['2:5.184:and']	['2:5.184:καὶ']
1309		['2:5.184:wide']	['2:5.184:εὐρὺς']
1310		['2:5.184:heavens']	['2:5.184:οὐρανὸς']
1311		['2:5.184:from', '2:5.184:above']	['2:5.184:ὕπερθε']
1312		['2:5.185:and']	['2:5.185:καὶ']
1313		['2:5.185:the']	['2:5.185:τὸ']
1314		['2:5.185:rushing-down']	['2:5.185:κατειβόμενον']
1315		['2:5.185:water']	['2:5.185:ὕδωρ']
1316		['2:5.185:Styx']	['2:5.185:Στυγὸς']
1317		['2:5.185:which']	['2:5.185:ὅς']
1318		['2:5.185:both']	['2:5.185:τε']
1319		['2:5.185:greatest']	['2:5.185:μέγιστος']
1320		['2:5.186:and']	['2:5.186:τε']
1321		['2:5.186:most', '2:5.186:fearsome']	['2:5.186:δεινότατός']
1322		['2:5.186:oath']	['2:5.186:ὅρκος']
1323	[it] 	['2:5.186:that', '2:5.186:exists']	['2:5.186:πέλει']
1324		['2:5.186:blessed']	['2:5.186:μακάρεσσι']
1325		['2:5.186:gods']	['2:5.186:θεοῖσι']
1326		['2:5.187:will', '2:5.187:plan']	['2:5.187:βουλευσέμεν']
1327		['2:5.187:not']	['2:5.187:μή']
1328		['2:5.187:any']	['2:5.187:τί']
1329		['2:5.187:other']	['2:5.187:ἄλλο']
1330		['2:5.187:evil']	['2:5.187:κακὸν']
1331		['2:5.187:misery']	['2:5.187:πῆμα']
1332		['2:5.187:for', '2:5.187:you']	['2:5.187:τοι']
1333		['2:5.187:yourself']	['2:5.187:αὐτῷ']
1334		['2:5.188:But']	['2:5.188:ἀλλὰ']
1335		['2:5.188:certainly']	['2:5.188:μὲν']
